[Award Level Code],[CIP Code and Description (4 digit)],[Institution Name],2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
Bachelor's degree,11.04 - Information Science/Studies,Rutgers University-New Brunswick,293,269,190,153,139,110,87,77,67,63,69,60,62,53,81,7,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Rutgers University-Newark,18,12,7,5,1,8,12,6,15,16,13,24,53,82,77,59,45,50,37,26,24
Bachelor's degree,11.04 - Information Science/Studies,Sage College of Albany,-,-,-,-,-,-,-,-,15,12,-,-,7,5,4,4,5,4,2,7,-
Bachelor's degree,11.04 - Information Science/Studies,Saint Cloud State University,2,3,1,1,-,2,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Saint Joseph's University,-,-,-,1,1,1,1,2,-,-,-,4,2,1,2,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Saint Mary's University of Minnesota,19,23,26,20,17,12,13,22,19,31,17,25,28,19,13,13,6,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Saint Michael's College,4,3,3,3,3,5,2,4,2,3,3,4,5,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Saint Peter's University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,33,20,12,12,11,11
Bachelor's degree,11.04 - Information Science/Studies,Salisbury University,59,54,67,64,64,54,35,27,21,29,25,25,38,36,65,69,56,33,36,38,22
Bachelor's degree,11.04 - Information Science/Studies,Savannah State University,11,16,9,17,10,10,13,27,16,11,16,30,39,32,32,29,20,21,13,15,17
Bachelor's degree,11.04 - Information Science/Studies,Siena Heights University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Silver Lake College of the Holy Family,3,5,1,2,-,2,1,2,-,1,2,3,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Simmons College,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Slippery Rock University of Pennsylvania,20,23,8,-,-,-,-,-,-,-,-,-,-,-,20,20,3,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Sojourner-Douglass College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,8,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,South University-Austin,2,6,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,South University-Cleveland,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,South University-Columbia,8,13,8,9,7,7,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,South University-Montgomery,14,5,4,6,4,8,8,5,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,South University-Savannah,9,7,7,10,4,7,1,21,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,South University-Tampa,4,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,South University-West Palm Beach,7,7,8,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,South University?Richmond,7,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,South University?Savannah Online,52,71,45,31,25,20,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,South University?Virginia Beach,3,7,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Southeastern Oklahoma State University,9,18,12,6,11,11,8,5,4,6,6,6,4,3,9,16,8,13,14,10,5
Bachelor's degree,11.04 - Information Science/Studies,Southern Illinois University-Carbondale,-,32,65,53,74,72,67,60,72,63,61,82,95,94,69,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Southern Nazarene University,-,-,-,-,-,-,-,1,-,-,-,1,1,1,2,4,3,3,2,1,1
Bachelor's degree,11.04 - Information Science/Studies,Southern Polytechnic State University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,70,60,78,50,64,51
Bachelor's degree,11.04 - Information Science/Studies,Southern University at New Orleans,10,12,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Southern Utah University,-,-,-,-,-,-,-,-,-,-,-,16,19,26,35,46,25,23,21,-,-
Bachelor's degree,11.04 - Information Science/Studies,Southwest Minnesota State University,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Southwestern Adventist University,-,-,-,-,-,1,-,-,-,-,-,-,-,-,5,-,2,3,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Southwestern Oklahoma State University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3
Bachelor's degree,11.04 - Information Science/Studies,St Bonaventure University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,St Catherine University,-,1,-,-,-,2,2,5,6,6,8,10,11,17,14,13,13,17,19,6,7
Bachelor's degree,11.04 - Information Science/Studies,St John's University-New York,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105,52,29,4,8,4
Bachelor's degree,11.04 - Information Science/Studies,St. Gregory's University,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,2,-,4,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,St. Joseph's College-Long Island,1,-,-,-,-,-,-,-,15,10,12,23,15,6,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,St. Joseph's College-New York,1,-,15,23,24,16,17,15,5,9,9,12,14,4,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,St. Mary's University,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4
Bachelor's degree,11.04 - Information Science/Studies,Stevenson University,11,14,14,21,11,16,19,12,-,-,-,18,92,101,128,185,148,104,105,109,81
Bachelor's degree,11.04 - Information Science/Studies,Stockton University,70,61,41,44,42,46,28,35,39,40,32,60,78,70,87,94,81,75,56,59,48
Bachelor's degree,11.04 - Information Science/Studies,Stony Brook University,52,66,79,41,64,61,43,18,19,25,23,44,48,73,95,9,71,77,41,34,19
Bachelor's degree,11.04 - Information Science/Studies,Stratford University,-,-,-,-,-,-,13,10,15,12,9,15,9,5,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-Alabama,3,2,3,4,11,1,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-Alexandria Campus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81,68,95,90
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-Anne Arundel Campus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-Arkansas,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-Delaware,3,-,2,5,6,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-District of Columbia,5,8,20,13,23,15,34,32,541,617,280,323,98,408,434,418,500,56,46,50,53
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-Florida,11,14,19,28,38,35,23,19,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-Fredericksburg Campus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,33,35,33
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-Georgia,23,13,27,45,46,42,33,19,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-Global Region,22,25,34,39,49,47,64,69,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-Henrico Campus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-Kentucky,-,-,-,-,10,10,5,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-Loudoun Campus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,51,43,40
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-Louisiana,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-Manassas Campus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,46,44,48
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-Maryland,40,42,57,70,85,84,117,120,-,-,-,-,-,-,-,-,-,16,7,1,-
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-Mississippi,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-Montgomery Campus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-New Jersey,4,6,8,10,16,11,5,3,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-North Carolina,24,20,28,31,33,50,39,53,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-Ohio,-,-,-,-,6,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-Pennsylvania,25,19,20,24,39,32,46,26,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-South Carolina,6,10,16,26,28,20,23,22,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-Takoma Park Campus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,27,42,17
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-Tennessee,4,4,12,11,20,14,10,26,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-Texas,8,11,7,6,3,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-Utah,-,-,-,-,4,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-Virginia,86,92,166,222,275,311,338,323,-,-,-,-,-,-,-,-,-,77,50,58,66
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-West Virginia,-,1,3,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Strayer University-Woodbridge Campus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66,68,67,52
Bachelor's degree,11.04 - Information Science/Studies,Suffolk University,17,21,26,21,-,25,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,SUNY at Fredonia,15,24,22,15,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,SUNY Buffalo State,61,62,65,46,63,48,53,58,41,56,45,51,94,99,70,82,83,68,58,55,52
Bachelor's degree,11.04 - Information Science/Studies,SUNY College at Brockport,14,25,18,16,10,-,-,8,2,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,SUNY College at Old Westbury,-,-,-,-,6,11,5,6,3,12,28,39,51,52,50,44,44,22,29,13,9
Bachelor's degree,11.04 - Information Science/Studies,SUNY College at Oswego,16,9,12,12,5,1,9,13,19,9,18,23,25,36,40,27,37,28,25,19,19
Bachelor's degree,11.04 - Information Science/Studies,SUNY College at Plattsburgh,-,-,-,-,-,-,-,6,1,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,SUNY Polytechnic Institute,20,31,14,10,15,13,18,21,32,16,21,12,20,23,27,39,28,23,28,24,12
Bachelor's degree,11.04 - Information Science/Studies,Susquehanna University,2,1,5,1,3,1,1,2,1,5,1,3,7,8,19,14,8,12,10,8,3
Bachelor's degree,11.04 - Information Science/Studies,Syracuse University,199,194,181,164,131,139,110,82,84,75,88,82,93,153,139,192,156,140,104,95,78
Bachelor's degree,11.04 - Information Science/Studies,Temple University,-,-,-,-,-,-,-,-,-,1,-,2,2,15,34,74,76,34,46,29,18
Bachelor's degree,11.04 - Information Science/Studies,Texas A & M University-Commerce,15,28,20,23,11,9,8,7,10,8,7,21,20,22,35,21,35,20,17,8,18
Bachelor's degree,11.04 - Information Science/Studies,Texas Christian University,-,-,-,-,-,-,-,1,-,-,1,4,14,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Texas Lutheran University,-,-,-,-,-,-,-,-,-,-,1,1,5,4,5,9,7,6,4,1,-
Bachelor's degree,11.04 - Information Science/Studies,Texas Southmost College,-,-,17,34,31,40,35,25,26,13,14,14,16,2,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Texas Tech University,101,59,68,67,59,51,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,The Master's University and Seminary,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,The Sage Colleges,5,11,14,10,7,8,12,11,-,-,-,-,-,-,-,-,-,-,-,2,7
Bachelor's degree,11.04 - Information Science/Studies,The University of Texas at Arlington,115,113,105,110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,The University of Texas of the Permian Basin,5,6,1,6,2,4,5,2,1,3,3,2,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,The University of Texas Rio Grande Valley,9,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Thiel College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,4,3,2
Bachelor's degree,11.04 - Information Science/Studies,Tiffin University,-,-,-,-,-,-,-,1,-,6,4,1,4,5,6,9,6,4,10,4,4
Bachelor's degree,11.04 - Information Science/Studies,Towson University,52,36,52,54,39,75,85,65,55,42,43,76,76,96,104,85,67,52,19,2,-
Bachelor's degree,11.04 - Information Science/Studies,Trinity Christian College,-,-,-,-,-,-,-,1,1,2,-,-,4,6,6,2,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,Union College,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,3,-,4,1,-,3
Bachelor's degree,11.04 - Information Science/Studies,United States Military Academy,-,-,-,-,-,-,-,-,3,-,-,10,10,23,16,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University at Buffalo,-,-,-,1,-,-,3,20,14,6,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of Advancing Technology,5,-,2,5,2,4,1,-,1,4,-,1,5,5,1,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of Akron Main Campus,25,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of Arkansas at Little Rock,17,27,23,14,15,15,13,10,10,4,9,6,7,8,3,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of Baltimore,19,17,19,19,25,22,18,20,29,29,36,35,40,37,32,25,3,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of California-Irvine,-,-,-,-,-,-,42,27,27,11,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of California-Riverside,7,8,3,11,4,5,10,8,8,10,9,23,21,11,2,1,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of California-Santa Cruz,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of Charleston,-,-,-,-,-,-,2,1,-,1,-,3,2,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of Cincinnati-Main Campus,-,74,54,61,48,44,46,33,36,18,30,13,2,-,1,-,2,7,16,51,39
Bachelor's degree,11.04 - Information Science/Studies,University of Hartford,3,4,6,3,10,12,8,12,12,13,16,17,12,14,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of Houston,19,19,15,16,9,8,11,9,5,10,8,8,14,7,20,21,8,7,2,2,3
Bachelor's degree,11.04 - Information Science/Studies,University of Houston-Clear Lake,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,43,17,25,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of Houston-Victoria,12,23,13,11,14,15,10,7,8,10,12,17,23,34,31,38,27,-,13,7,8
Bachelor's degree,11.04 - Information Science/Studies,University of Illinois at Chicago,79,60,47,33,22,42,32,19,31,22,27,44,49,92,146,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of Iowa,-,-,-,-,-,-,20,15,4,1,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of Kentucky,18,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of Mary,-,-,-,2,6,7,12,13,14,10,7,1,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of Mary Hardin-Baylor,-,-,-,2,-,-,-,-,-,1,-,7,3,3,11,21,9,12,14,10,3
Bachelor's degree,11.04 - Information Science/Studies,University of Maryland-Baltimore County,177,186,170,167,147,147,144,131,113,160,214,213,309,331,378,325,317,255,210,177,167
Bachelor's degree,11.04 - Information Science/Studies,University of Maryland-College Park,90,102,88,89,77,75,72,38,49,32,27,46,78,143,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of Maryland-University College,853,628,604,474,428,391,358,363,308,312,329,334,318,277,214,53,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of Massachusetts-Lowell,192,188,215,191,170,151,128,124,99,96,90,104,121,106,63,52,44,38,26,28,24
Bachelor's degree,11.04 - Information Science/Studies,University of Miami,1,9,3,3,1,11,3,5,8,6,13,20,21,42,57,52,31,32,26,21,24
Bachelor's degree,11.04 - Information Science/Studies,University of Michigan-Ann Arbor,95,57,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of Michigan-Dearborn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,1
Bachelor's degree,11.04 - Information Science/Studies,University of Michigan-Flint,35,13,9,23,13,18,9,11,16,7,7,19,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of Missouri-Kansas City,-,-,-,-,-,-,-,-,-,-,9,23,23,44,25,25,3,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of Mount Olive,1,4,5,6,11,8,13,3,15,8,14,13,20,25,18,7,4,2,6,3,5
Bachelor's degree,11.04 - Information Science/Studies,University of Mount Union,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,13,7,6,2,6
Bachelor's degree,11.04 - Information Science/Studies,University of Nebraska at Omaha,40,54,33,50,40,39,51,41,43,47,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of Nevada-Las Vegas,1,-,1,3,10,19,10,4,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of New England-Westbrook College Campus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Bachelor's degree,11.04 - Information Science/Studies,University of New Haven,-,-,-,5,7,4,2,1,1,2,4,1,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of North Carolina at Chapel Hill,41,43,45,32,35,15,10,17,17,17,17,13,22,14,1,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of North Georgia,17,14,9,10,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,"University of North Georgia (Dahlonega, GA)",-,-,-,-,-,6,6,9,4,7,-,8,10,14,16,15,2,1,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of North Texas,25,14,15,9,9,10,9,6,3,4,7,5,4,1,3,5,1,2,3,3,-
Bachelor's degree,11.04 - Information Science/Studies,University of Northern Iowa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,5,7,5,10,6
Bachelor's degree,11.04 - Information Science/Studies,University of Oklahoma-Norman Campus,13,7,12,5,7,6,5,8,10,8,13,8,12,3,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of Pittsburgh-Johnstown,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of Pittsburgh-Pittsburgh Campus,89,78,65,72,69,66,63,47,51,42,56,85,97,120,154,166,134,120,84,79,69
Bachelor's degree,11.04 - Information Science/Studies,University of Puerto Rico-Ponce,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,36,28,27,-
Bachelor's degree,11.04 - Information Science/Studies,University of Redlands,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of Richmond,1,2,4,10,7,6,11,8,7,11,12,21,14,18,17,14,4,6,4,4,2
Bachelor's degree,11.04 - Information Science/Studies,University of Rio Grande,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of San Francisco,-,-,-,-,-,-,-,-,-,-,72,65,85,144,190,161,139,190,148,165,160
Bachelor's degree,11.04 - Information Science/Studies,University of Scranton,4,2,-,1,2,8,3,1,1,6,4,4,9,6,10,16,11,7,8,6,5
Bachelor's degree,11.04 - Information Science/Studies,University of South Alabama,19,13,19,19,13,11,14,6,6,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of South Carolina-Columbia,10,8,1,5,5,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of South Carolina-Upstate,15,11,19,15,14,12,11,12,3,-,-,-,-,1,7,11,8,5,4,5,5
Bachelor's degree,11.04 - Information Science/Studies,University of South Florida-Main Campus,-,-,-,2,13,7,9,4,9,7,5,10,16,18,29,18,27,19,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of St Thomas,9,9,7,2,15,9,6,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,11.04 - Information Science/Studies,University of the District of Columbia,-,-,-,-,-,4,9,10,7,4,-,2,-,-,-,2,-,-,10,-,-
